url,lat,long,restaurant,grocery,cafe,park,school,hospital,parking
https://www.realtor.com/realestateandhomes-detail/M9817534874?listing_status=rental,47.698071,-122.347061,20,2,8,10,20,0,10
https://www.realtor.com/realestateandhomes-detail/M2690511645?listing_status=rental,47.608646,-122.338786,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2568023476?listing_status=rental,47.561323,-122.388588,20,3,20,8,17,4,20
https://www.realtor.com/realestateandhomes-detail/M9156930040?listing_status=rental,47.649361,-122.375252,19,0,6,8,14,0,14
https://www.realtor.com/realestateandhomes-detail/M1267313929?listing_status=rental,47.60006,-122.302558,20,4,15,20,20,8,9
https://www.realtor.com/realestateandhomes-detail/M1189690439?listing_status=rental,47.625422,-122.361551,20,1,20,20,15,2,20
https://www.realtor.com/realestateandhomes-detail/M1218126615?listing_status=rental,47.641351,-122.330053,20,2,9,20,18,2,20
https://www.realtor.com/realestateandhomes-detail/M9282192903?listing_status=rental,47.655964,-122.319565,20,2,20,20,20,5,20
https://www.realtor.com/realestateandhomes-detail/M9860373785?listing_status=rental,47.609318,-122.333885,20,8,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1404070217?listing_status=rental,47.635228,-122.324566,20,2,6,20,14,0,20
https://www.realtor.com/realestateandhomes-detail/M2523805219?listing_status=rental,47.613552,-122.334043,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9347317714?listing_status=rental,47.612808,-122.324799,20,5,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1978779956?listing_status=rental,47.698178,-122.366264,18,1,10,6,10,0,4
https://www.realtor.com/realestateandhomes-detail/M9431858699?listing_status=rental,47.616913,-122.314613,20,5,20,20,20,11,20
https://www.realtor.com/realestateandhomes-detail/M2439673273?listing_status=rental,47.653819,-122.385062,20,0,6,7,11,0,8
https://www.realtor.com/realestateandhomes-detail/M9514883554?listing_status=rental,47.526736,-122.321412,15,0,3,15,2,0,1
https://www.realtor.com/realestateandhomes-detail/M9508389050?listing_status=rental,47.579792,-122.295517,20,2,7,20,20,0,5
https://www.realtor.com/realestateandhomes-detail/M2327136058?listing_status=rental,47.559532,-122.383793,20,3,20,12,16,4,20
